subjek,comment,text_clean,text_normalized,tokens,tokens_no_stop,tokens_stemmed,final_text
Purbaya Yudhi Sadewa,"P😊emotongan TKD bukan untuk sektor kebutuhan dasar rakyat dan infastruktur dasar !
Pengurangan TKD untuk mengurangi pengeluaran yang tidak menyentuh lansung kebutuhan ekonomi,sosial dan pendidikan..?",p😊emotongan tkd bukan untuk sektor kebutuhan dasar rakyat dan infastruktur dasar pengurangan tkd untuk mengurangi pengeluaran yang tidak menyentuh lansung kebutuhan ekonomisosial dan pendidikan,p😊emotongan tkd bukan untuk sektor kebutuhan dasar rakyat dan infastruktur dasar pengurangan tkd untuk mengurangi pengeluaran yang tidak menyentuh lansung kebutuhan ekonomisosial dan pendidikan,"['p😊emotongan', 'tkd', 'bukan', 'untuk', 'sektor', 'kebutuhan', 'dasar', 'rakyat', 'dan', 'infastruktur', 'dasar', 'pengurangan', 'tkd', 'untuk', 'mengurangi', 'pengeluaran', 'yang', 'tidak', 'menyentuh', 'lansung', 'kebutuhan', 'ekonomisosial', 'dan', 'pendidikan']","['p😊emotongan', 'tkd', 'sektor', 'kebutuhan', 'dasar', 'rakyat', 'infastruktur', 'dasar', 'pengurangan', 'tkd', 'mengurangi', 'pengeluaran', 'menyentuh', 'lansung', 'kebutuhan', 'ekonomisosial', 'pendidikan']","['p emotongan', 'tkd', 'sektor', 'butuh', 'dasar', 'rakyat', 'infastruktur', 'dasar', 'kurang', 'tkd', 'kurang', 'keluar', 'sentuh', 'lansung', 'butuh', 'ekonomisosial', 'didik']",p emotongan tkd sektor butuh dasar rakyat infastruktur dasar kurang tkd kurang keluar sentuh lansung butuh ekonomisosial didik
Purbaya Yudhi Sadewa,baru kali ini saya ngikutin pejabat..emang aneh nih pak pur bisa magnet segini nya,baru kali ini saya ngikutin pejabatemang aneh nih pak pur bisa magnet segini nya,baru kali ini saya ngikutin pejabatemang aneh nih bapak pur bisa magnet segini nya,"['baru', 'kali', 'ini', 'saya', 'ngikutin', 'pejabatemang', 'aneh', 'nih', 'bapak', 'pur', 'bisa', 'magnet', 'segini', 'nya']","['kali', 'ngikutin', 'pejabatemang', 'aneh', 'nih', 'pur', 'magnet', 'segini']","['kali', 'ngikutin', 'pejabatemang', 'aneh', 'nih', 'pur', 'magnet', 'gin']",kali ngikutin pejabatemang aneh nih pur magnet gin
Purbaya Yudhi Sadewa,Walo bagaimna saat ini pak Purbaya yg di harapkan rakyat,walo bagaimna saat ini pak purbaya yg di harapkan rakyat,walo bagaimna saat ini bapak purbaya yang di harapkan rakyat,"['walo', 'bagaimna', 'saat', 'ini', 'bapak', 'purbaya', 'yang', 'di', 'harapkan', 'rakyat']","['walo', 'bagaimna', 'purbaya', 'harapkan', 'rakyat']","['walo', 'bagaimna', 'purbaya', 'harap', 'rakyat']",walo bagaimna purbaya harap rakyat
Purbaya Yudhi Sadewa,Adakah birokrat yang merangkap jadi mafia?,adakah birokrat yang merangkap jadi mafia,adakah birokrat yang merangkap jadi mafia,"['adakah', 'birokrat', 'yang', 'merangkap', 'jadi', 'mafia']","['adakah', 'birokrat', 'merangkap', 'mafia']","['ada', 'birokrat', 'rangkap', 'mafia']",ada birokrat rangkap mafia
Purbaya Yudhi Sadewa,LU KALO BIKIN TUMBHNAIL YANG BENER KOPLOK,lu kalo bikin tumbhnail yang bener koplok,lu kalo bikin tumbhnail yang bener koplok,"['lu', 'kalo', 'bikin', 'tumbhnail', 'yang', 'bener', 'koplok']","['kalo', 'bikin', 'tumbhnail', 'bener', 'koplok']","['kalo', 'bikin', 'tumbhnail', 'bener', 'koplok']",kalo bikin tumbhnail bener koplok
Purbaya Yudhi Sadewa,Dibutuhkan pembuktian jk pjg ol kemenkeu🎉,dibutuhkan pembuktian jk pjg ol kemenkeu🎉,dibutuhkan pembuktian jk pjg ol kemenkeu🎉,"['dibutuhkan', 'pembuktian', 'jk', 'pjg', 'ol', 'kemenkeu🎉']","['dibutuhkan', 'pembuktian', 'pjg', 'kemenkeu🎉']","['butuh', 'bukti', 'pjg', 'kemenkeu']",butuh bukti pjg kemenkeu
Purbaya Yudhi Sadewa,"Pak Guru Gembul. Lapor pak guru.
Sepertinya ramalan Guru Gembul soal pak purbaya akan segera dijegal memang akan segera terbukti. Media mainstream seperti Tempo malah memberitakan kebijakan tidak popular DJP padahal Pak Purbaya sedang bekerja untuk membatalkan kebijakan tersebut.",pak guru gembul lapor pak guru sepertinya ramalan guru gembul soal pak purbaya akan segera dijegal memang akan segera terbukti media mainstream seperti tempo malah memberitakan kebijakan tidak popular djp padahal pak purbaya sedang bekerja untuk membatalkan kebijakan tersebut,bapak guru gembul lapor bapak guru sepertinya ramalan guru gembul soal bapak purbaya akan segera dijegal memang akan segera terbukti media mainstream seperti tempo malah memberitakan kebijakan tidak popular djp padahal bapak purbaya sedang bekerja untuk membatalkan kebijakan tersebut,"['bapak', 'guru', 'gembul', 'lapor', 'bapak', 'guru', 'sepertinya', 'ramalan', 'guru', 'gembul', 'soal', 'bapak', 'purbaya', 'akan', 'segera', 'dijegal', 'memang', 'akan', 'segera', 'terbukti', 'media', 'mainstream', 'seperti', 'tempo', 'malah', 'memberitakan', 'kebijakan', 'tidak', 'popular', 'djp', 'padahal', 'bapak', 'purbaya', 'sedang', 'bekerja', 'untuk', 'membatalkan', 'kebijakan', 'tersebut']","['guru', 'gembul', 'lapor', 'guru', 'ramalan', 'guru', 'gembul', 'purbaya', 'dijegal', 'terbukti', 'media', 'mainstream', 'tempo', 'memberitakan', 'kebijakan', 'popular', 'djp', 'purbaya', 'membatalkan', 'kebijakan']","['guru', 'gembul', 'lapor', 'guru', 'ramal', 'guru', 'gembul', 'purbaya', 'jegal', 'bukti', 'media', 'mainstream', 'tempo', 'berita', 'bijak', 'popular', 'djp', 'purbaya', 'batal', 'bijak']",guru gembul lapor guru ramal guru gembul purbaya jegal bukti media mainstream tempo berita bijak popular djp purbaya batal bijak
Purbaya Yudhi Sadewa,Mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
Purbaya Yudhi Sadewa,Terpenting yg diakomodir di kekuasaan masih WNI bukan bangsa asing 🎉,terpenting yg diakomodir di kekuasaan masih wni bukan bangsa asing 🎉,terpenting yang diakomodir di kekuasaan masih wni bukan bangsa asing 🎉,"['terpenting', 'yang', 'diakomodir', 'di', 'kekuasaan', 'masih', 'wni', 'bukan', 'bangsa', 'asing', '🎉']","['terpenting', 'diakomodir', 'kekuasaan', 'wni', 'bangsa', 'asing']","['penting', 'diakomodir', 'kuasa', 'wni', 'bangsa', 'asing']",penting diakomodir kuasa wni bangsa asing
Purbaya Yudhi Sadewa,Guru gembul bikin..pusing pemikiranya...kaya pelatih sepak bola kaya pertandingan aja ..❤,guru gembul bikinpusing pemikiranyakaya pelatih sepak bola kaya pertandingan aja ❤,guru gembul bikinpusing pemikiranyakaya pelatih sepak bola kaya pertandingan saja ❤,"['guru', 'gembul', 'bikinpusing', 'pemikiranyakaya', 'pelatih', 'sepak', 'bola', 'kaya', 'pertandingan', 'saja', '❤']","['guru', 'gembul', 'bikinpusing', 'pemikiranyakaya', 'pelatih', 'sepak', 'bola', 'kaya', 'pertandingan']","['guru', 'gembul', 'bikinpusing', 'pemikiranyakaya', 'latih', 'sepak', 'bola', 'kaya', 'tanding']",guru gembul bikinpusing pemikiranyakaya latih sepak bola kaya tanding
