subjek,comment,text_clean,text_normalized,tokens,tokens_no_stop,tokens_stemmed,final_text
Purbaya Yudhi Sadewa,"Ga perlu seperti punyanya sahroni,ya pak. Semuanya  Brandid trilyunan. Tapi otak kyk cek kosong,bisa nya cuma flexing doang. Wkwkwk. Belagu",ga perlu seperti punyanya sahroniya pak semuanya brandid trilyunan tapi otak kyk cek kosongbisa nya cuma flexing doang wkwkwk belagu,tidak perlu seperti punyanya sahroniya bapak semuanya brandid trilyunan tapi otak kyk cek kosongbisa nya cuma flexing doang wkwkwk belagu,"['tidak', 'perlu', 'seperti', 'punyanya', 'sahroniya', 'bapak', 'semuanya', 'brandid', 'trilyunan', 'tapi', 'otak', 'kyk', 'cek', 'kosongbisa', 'nya', 'cuma', 'flexing', 'doang', 'wkwkwk', 'belagu']","['punyanya', 'sahroniya', 'brandid', 'trilyunan', 'otak', 'kyk', 'cek', 'kosongbisa', 'flexing', 'doang', 'wkwkwk', 'belagu']","['punya', 'sahroniya', 'brandid', 'trilyunan', 'otak', 'kyk', 'cek', 'kosongbisa', 'flexing', 'doang', 'wkwkwk', 'belagu']",punya sahroniya brandid trilyunan otak kyk cek kosongbisa flexing doang wkwkwk belagu
Purbaya Yudhi Sadewa,Apa arti FAMILY OFFICE dan manfaatnya lngsung buat rakyat,apa arti family office dan manfaatnya lngsung buat rakyat,apa arti family office dan manfaatnya lngsung buat rakyat,"['apa', 'arti', 'family', 'office', 'dan', 'manfaatnya', 'lngsung', 'buat', 'rakyat']","['arti', 'family', 'office', 'manfaatnya', 'lngsung', 'rakyat']","['arti', 'family', 'office', 'manfaat', 'lngsung', 'rakyat']",arti family office manfaat lngsung rakyat
Purbaya Yudhi Sadewa,MENTERI PURBAYA YUDHI SADEWA SATU TYPE DGN  MA'RIE MUHAMMAD YG CERDAS & SEDERHANA TIDAK MEMANFAATKAN JABATAN MENTERI UNTUK MEMPERKAYA DIRI SENDIRI & KELUARGA UNTUK KORUPSI.,menteri purbaya yudhi sadewa satu type dgn marie muhammad yg cerdas sederhana tidak memanfaatkan jabatan menteri untuk memperkaya diri sendiri keluarga untuk korupsi,menteri purbaya yudhi sadewa satu type dengan marie muhammad yang cerdas sederhana tidak memanfaatkan jabatan menteri untuk memperkaya diri sendiri keluarga untuk korupsi,"['menteri', 'purbaya', 'yudhi', 'sadewa', 'satu', 'type', 'dengan', 'marie', 'muhammad', 'yang', 'cerdas', 'sederhana', 'tidak', 'memanfaatkan', 'jabatan', 'menteri', 'untuk', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'untuk', 'korupsi']","['menteri', 'purbaya', 'yudhi', 'sadewa', 'type', 'marie', 'muhammad', 'cerdas', 'sederhana', 'memanfaatkan', 'jabatan', 'menteri', 'memperkaya', 'keluarga', 'korupsi']","['menteri', 'purbaya', 'yudhi', 'sadewa', 'type', 'marie', 'muhammad', 'cerdas', 'sederhana', 'manfaat', 'jabat', 'menteri', 'kaya', 'keluarga', 'korupsi']",menteri purbaya yudhi sadewa type marie muhammad cerdas sederhana manfaat jabat menteri kaya keluarga korupsi
Purbaya Yudhi Sadewa,"Pak purbaya tidak memikirkan kekayaan dirinya sendiri yang dipikirkan rakyat itu  yng mulya benar"" menjalankan Amanah Tuhan orang yng  seperti itu surga tempatnya.Aamiin.",pak purbaya tidak memikirkan kekayaan dirinya sendiri yang dipikirkan rakyat itu yng mulya benar menjalankan amanah tuhan orang yng seperti itu surga tempatnyaaamiin,bapak purbaya tidak memikirkan kekayaan dirinya sendiri yang dipikirkan rakyat itu yng mulya benar menjalankan amanah tuhan orang yng seperti itu surga tempatnyaaamiin,"['bapak', 'purbaya', 'tidak', 'memikirkan', 'kekayaan', 'dirinya', 'sendiri', 'yang', 'dipikirkan', 'rakyat', 'itu', 'yng', 'mulya', 'benar', 'menjalankan', 'amanah', 'tuhan', 'orang', 'yng', 'seperti', 'itu', 'surga', 'tempatnyaaamiin']","['purbaya', 'memikirkan', 'kekayaan', 'dipikirkan', 'rakyat', 'yng', 'mulya', 'menjalankan', 'amanah', 'tuhan', 'orang', 'yng', 'surga', 'tempatnyaaamiin']","['purbaya', 'pikir', 'kaya', 'pikir', 'rakyat', 'yng', 'mulya', 'jalan', 'amanah', 'tuhan', 'orang', 'yng', 'surga', 'tempatnyaaamiin']",purbaya pikir kaya pikir rakyat yng mulya jalan amanah tuhan orang yng surga tempatnyaaamiin
Purbaya Yudhi Sadewa,Pak Purbaya bukan orang yg suka hal2 mubazier... Gak perlu pk yg milyaran... Kl cm planga plongo doank... 😂 beliau ekonom asli lhooo... 😂❤,pak purbaya bukan orang yg suka hal mubazier gak perlu pk yg milyaran kl cm planga plongo doank 😂 beliau ekonom asli lhooo 😂❤,bapak purbaya bukan orang yang suka hal mubazier tidak perlu pk yang milyaran kl cm planga plongo doank 😂 beliau ekonom asli lhooo 😂❤,"['bapak', 'purbaya', 'bukan', 'orang', 'yang', 'suka', 'hal', 'mubazier', 'tidak', 'perlu', 'pk', 'yang', 'milyaran', 'kl', 'cm', 'planga', 'plongo', 'doank', '😂', 'beliau', 'ekonom', 'asli', 'lhooo', '😂❤']","['purbaya', 'orang', 'suka', 'mubazier', 'milyaran', 'planga', 'plongo', 'doank', 'beliau', 'ekonom', 'asli', 'lhooo']","['purbaya', 'orang', 'suka', 'mubazier', 'milyaran', 'planga', 'plongo', 'doank', 'beliau', 'ekonom', 'asli', 'lhooo']",purbaya orang suka mubazier milyaran planga plongo doank beliau ekonom asli lhooo
Purbaya Yudhi Sadewa,8 juta gaji sya 4 bulan😢,juta gaji sya bulan😢,juta gaji sya bulan😢,"['juta', 'gaji', 'sya', 'bulan😢']","['juta', 'gaji', 'sya', 'bulan😢']","['juta', 'gaji', 'sya', 'bulan']",juta gaji sya bulan
Purbaya Yudhi Sadewa,Ah Tribune beritanya TIDAK BERMUTU !. kebanyakkan HOAX demi rating dan viewers 😂🤣😅😆😁,ah tribune beritanya tidak bermutu kebanyakkan hoax demi rating dan viewers 😂🤣😅😆😁,ah tribune beritanya tidak bermutu kebanyakkan hoax demi rating dan viewers 😂🤣😅😆😁,"['ah', 'tribune', 'beritanya', 'tidak', 'bermutu', 'kebanyakkan', 'hoax', 'demi', 'rating', 'dan', 'viewers', '😂🤣😅😆😁']","['tribune', 'beritanya', 'bermutu', 'kebanyakkan', 'hoax', 'rating', 'viewers', '😂🤣😅😆😁']","['tribune', 'berita', 'mutu', 'banyak', 'hoax', 'rating', 'viewers', '']",tribune berita mutu banyak hoax rating viewers 
Purbaya Yudhi Sadewa,Ngeri jam az di sorot😂😂😂,ngeri jam az di sorot😂😂😂,ngeri jam az di sorot😂😂😂,"['ngeri', 'jam', 'az', 'di', 'sorot😂😂😂']","['ngeri', 'jam', 'sorot😂😂😂']","['ngeri', 'jam', 'sorot']",ngeri jam sorot
Purbaya Yudhi Sadewa,"Presiden Kita bpk Prabowo sangat tepat menunjuk bpk Purbaya sbg MenKu saat ini...Beliau tegas,lugas, tdk ragu2 mengambil sikap untk kebaikan...pokoknya luar biasa dan sangat berpihak pd Rakyat....smg kelak bs menjd Presiden RI,Aamiin.",presiden kita bpk prabowo sangat tepat menunjuk bpk purbaya sbg menku saat inibeliau tegaslugas tdk ragu mengambil sikap untk kebaikanpokoknya luar biasa dan sangat berpihak pd rakyatsmg kelak bs menjd presiden riaamiin,presiden kita bpk prabowo sangat tepat menunjuk bpk purbaya sebagai menku saat inibeliau tegaslugas tdk ragu mengambil sikap untk kebaikanpokoknya luar biasa dan sangat berpihak pd rakyatsmg kelak bs menjd presiden riaamiin,"['presiden', 'kita', 'bpk', 'prabowo', 'sangat', 'tepat', 'menunjuk', 'bpk', 'purbaya', 'sebagai', 'menku', 'saat', 'inibeliau', 'tegaslugas', 'tdk', 'ragu', 'mengambil', 'sikap', 'untk', 'kebaikanpokoknya', 'luar', 'biasa', 'dan', 'sangat', 'berpihak', 'pd', 'rakyatsmg', 'kelak', 'bs', 'menjd', 'presiden', 'riaamiin']","['presiden', 'bpk', 'prabowo', 'bpk', 'purbaya', 'menku', 'inibeliau', 'tegaslugas', 'tdk', 'ragu', 'mengambil', 'sikap', 'untk', 'kebaikanpokoknya', 'berpihak', 'rakyatsmg', 'kelak', 'menjd', 'presiden', 'riaamiin']","['presiden', 'bpk', 'prabowo', 'bpk', 'purbaya', 'menku', 'inibeliau', 'tegaslugas', 'tdk', 'ragu', 'ambil', 'sikap', 'untk', 'kebaikanpokoknya', 'pihak', 'rakyatsmg', 'kelak', 'menjd', 'presiden', 'riaamiin']",presiden bpk prabowo bpk purbaya menku inibeliau tegaslugas tdk ragu ambil sikap untk kebaikanpokoknya pihak rakyatsmg kelak menjd presiden riaamiin
Purbaya Yudhi Sadewa,"ah biasa itu.... lama2 juga bakalan berubah jadi iblis.... jangan dibagus2in lah, pejabat baru ini....",ah biasa itu lama juga bakalan berubah jadi iblis jangan dibagusin lah pejabat baru ini,ah biasa itu lama juga bakalan berubah jadi iblis jangan dibagusin lah pejabat baru ini,"['ah', 'biasa', 'itu', 'lama', 'juga', 'bakalan', 'berubah', 'jadi', 'iblis', 'jangan', 'dibagusin', 'lah', 'pejabat', 'baru', 'ini']","['berubah', 'iblis', 'dibagusin', 'pejabat']","['ubah', 'iblis', 'dibagusin', 'jabat']",ubah iblis dibagusin jabat
Purbaya Yudhi Sadewa,"Menteri yang minta dilengserkan oleh mereka yang lagi FOMO dengan pola pikir kolot aki2, dont judge book by the cover",menteri yang minta dilengserkan oleh mereka yang lagi fomo dengan pola pikir kolot aki dont judge book by the cover,menteri yang minta dilengserkan oleh mereka yang lagi fomo dengan pola pikir kolot aki dont judge book by the cover,"['menteri', 'yang', 'minta', 'dilengserkan', 'oleh', 'mereka', 'yang', 'lagi', 'fomo', 'dengan', 'pola', 'pikir', 'kolot', 'aki', 'dont', 'judge', 'book', 'by', 'the', 'cover']","['menteri', 'dilengserkan', 'fomo', 'pola', 'pikir', 'kolot', 'aki', 'dont', 'judge', 'book', 'the', 'cover']","['menteri', 'lengser', 'fomo', 'pola', 'pikir', 'kolot', 'aki', 'dont', 'judge', 'book', 'the', 'cover']",menteri lengser fomo pola pikir kolot aki dont judge book the cover
Purbaya Yudhi Sadewa,👍👍,👍👍,👍👍,['👍👍'],[],[],
Purbaya Yudhi Sadewa,Pak Purbaya fenomenal banget serhana dlm penampilan baik batik dn jamnya namu tetep elegant dg postur tubuh tinggi bsar dg wajah yg sll senyum aden liatnya  walsupun gebraganya mbuat panas dingin  bgi  aparat  yg curang,pak purbaya fenomenal banget serhana dlm penampilan baik batik dn jamnya namu tetep elegant dg postur tubuh tinggi bsar dg wajah yg sll senyum aden liatnya walsupun gebraganya mbuat panas dingin bgi aparat yg curang,bapak purbaya fenomenal banget serhana dlm penampilan baik batik dn jamnya namu tetep elegant dg postur tubuh tinggi bsar dg wajah yang sll senyum aden liatnya walsupun gebraganya mbuat panas dingin bgi aparat yang curang,"['bapak', 'purbaya', 'fenomenal', 'banget', 'serhana', 'dlm', 'penampilan', 'baik', 'batik', 'dn', 'jamnya', 'namu', 'tetep', 'elegant', 'dg', 'postur', 'tubuh', 'tinggi', 'bsar', 'dg', 'wajah', 'yang', 'sll', 'senyum', 'aden', 'liatnya', 'walsupun', 'gebraganya', 'mbuat', 'panas', 'dingin', 'bgi', 'aparat', 'yang', 'curang']","['purbaya', 'fenomenal', 'banget', 'serhana', 'dlm', 'penampilan', 'batik', 'jamnya', 'namu', 'tetep', 'elegant', 'postur', 'tubuh', 'bsar', 'wajah', 'sll', 'senyum', 'aden', 'liatnya', 'walsupun', 'gebraganya', 'mbuat', 'panas', 'dingin', 'bgi', 'aparat', 'curang']","['purbaya', 'fenomenal', 'banget', 'serhana', 'dlm', 'tampil', 'batik', 'jam', 'namu', 'tetep', 'elegant', 'postur', 'tubuh', 'bsar', 'wajah', 'sll', 'senyum', 'aden', 'liat', 'walsupun', 'gebraganya', 'mbuat', 'panas', 'dingin', 'bgi', 'aparat', 'curang']",purbaya fenomenal banget serhana dlm tampil batik jam namu tetep elegant postur tubuh bsar wajah sll senyum aden liat walsupun gebraganya mbuat panas dingin bgi aparat curang
Purbaya Yudhi Sadewa,Hidup sederhana berpikir dan bekerja tinggi.,hidup sederhana berpikir dan bekerja tinggi,hidup sederhana berpikir dan bekerja tinggi,"['hidup', 'sederhana', 'berpikir', 'dan', 'bekerja', 'tinggi']","['hidup', 'sederhana', 'berpikir']","['hidup', 'sederhana', 'pikir']",hidup sederhana pikir
Purbaya Yudhi Sadewa,"Jam harga 8 juta itu sudah cukup mewah buat sekedar nunjukkan fungsi normal jam, dan design yg ckup bagus sesuai kelasnya, artinya si menkeu pak purbaya tidak mengejar gengsi meski gajinya ckup membeli jam lebioh mahal sebagai mantan pejabat kepala LPS.",jam harga juta itu sudah cukup mewah buat sekedar nunjukkan fungsi normal jam dan design yg ckup bagus sesuai kelasnya artinya si menkeu pak purbaya tidak mengejar gengsi meski gajinya ckup membeli jam lebioh mahal sebagai mantan pejabat kepala lps,jam harga juta itu sudah cukup mewah buat sekedar nunjukkan fungsi normal jam dan design yang ckup bagus sesuai kelasnya artinya si menkeu bapak purbaya tidak mengejar gengsi meski gajinya ckup membeli jam lebioh mahal sebagai mantan pejabat kepala lps,"['jam', 'harga', 'juta', 'itu', 'sudah', 'cukup', 'mewah', 'buat', 'sekedar', 'nunjukkan', 'fungsi', 'normal', 'jam', 'dan', 'design', 'yang', 'ckup', 'bagus', 'sesuai', 'kelasnya', 'artinya', 'si', 'menkeu', 'bapak', 'purbaya', 'tidak', 'mengejar', 'gengsi', 'meski', 'gajinya', 'ckup', 'membeli', 'jam', 'lebioh', 'mahal', 'sebagai', 'mantan', 'pejabat', 'kepala', 'lps']","['jam', 'harga', 'juta', 'mewah', 'sekedar', 'nunjukkan', 'fungsi', 'normal', 'jam', 'design', 'ckup', 'bagus', 'sesuai', 'kelasnya', 'menkeu', 'purbaya', 'mengejar', 'gengsi', 'gajinya', 'ckup', 'membeli', 'jam', 'lebioh', 'mahal', 'mantan', 'pejabat', 'kepala', 'lps']","['jam', 'harga', 'juta', 'mewah', 'dar', 'nunjukkan', 'fungsi', 'normal', 'jam', 'design', 'ckup', 'bagus', 'sesuai', 'kelas', 'menkeu', 'purbaya', 'kejar', 'gengsi', 'gaji', 'ckup', 'beli', 'jam', 'lebioh', 'mahal', 'mantan', 'jabat', 'kepala', 'lps']",jam harga juta mewah dar nunjukkan fungsi normal jam design ckup bagus sesuai kelas menkeu purbaya kejar gengsi gaji ckup beli jam lebioh mahal mantan jabat kepala lps
Purbaya Yudhi Sadewa,Kok dicopot.. enak men... Biar pak Purboyo kerja dulu lihat dan rasakan hasilnya..,kok dicopot enak men biar pak purboyo kerja dulu lihat dan rasakan hasilnya,kok dicopot enak men biar bapak purboyo kerja dulu lihat dan rasakan hasilnya,"['kok', 'dicopot', 'enak', 'men', 'biar', 'bapak', 'purboyo', 'kerja', 'dulu', 'lihat', 'dan', 'rasakan', 'hasilnya']","['dicopot', 'enak', 'men', 'biar', 'purboyo', 'kerja', 'lihat', 'rasakan', 'hasilnya']","['copot', 'enak', 'men', 'biar', 'purboyo', 'kerja', 'lihat', 'rasa', 'hasil']",copot enak men biar purboyo kerja lihat rasa hasil
Purbaya Yudhi Sadewa,"Asal jangan nanti setelah 1 tahun, lalu tiba-tiba sudah pakai jam tangan ratusan juta hingga miliaran ya?!",asal jangan nanti setelah tahun lalu tibatiba sudah pakai jam tangan ratusan juta hingga miliaran ya,asal jangan nanti setelah tahun lalu tibatiba sudah pakai jam tangan ratusan juta hingga miliaran ya,"['asal', 'jangan', 'nanti', 'setelah', 'tahun', 'lalu', 'tibatiba', 'sudah', 'pakai', 'jam', 'tangan', 'ratusan', 'juta', 'hingga', 'miliaran', 'ya']","['tibatiba', 'pakai', 'jam', 'tangan', 'ratusan', 'juta', 'miliaran']","['tibatiba', 'pakai', 'jam', 'tangan', 'ratus', 'juta', 'miliar']",tibatiba pakai jam tangan ratus juta miliar
Purbaya Yudhi Sadewa,"hidup ini apa seh ? 👍 biasa aja ya pak ?
beliau dibesarkan dari kelas menengah .... bukan dari pinggir kali yang dendam dengan gaya hidup dan norak 😂",hidup ini apa seh 👍 biasa aja ya pak beliau dibesarkan dari kelas menengah bukan dari pinggir kali yang dendam dengan gaya hidup dan norak 😂,hidup ini apa seh 👍 biasa saja ya bapak beliau dibesarkan dari kelas menengah bukan dari pinggir kali yang dendam dengan gaya hidup dan norak 😂,"['hidup', 'ini', 'apa', 'seh', '👍', 'biasa', 'saja', 'ya', 'bapak', 'beliau', 'dibesarkan', 'dari', 'kelas', 'menengah', 'bukan', 'dari', 'pinggir', 'kali', 'yang', 'dendam', 'dengan', 'gaya', 'hidup', 'dan', 'norak', '😂']","['hidup', 'seh', 'beliau', 'dibesarkan', 'kelas', 'menengah', 'pinggir', 'kali', 'dendam', 'gaya', 'hidup', 'norak']","['hidup', 'seh', 'beliau', 'besar', 'kelas', 'tengah', 'pinggir', 'kali', 'dendam', 'gaya', 'hidup', 'norak']",hidup seh beliau besar kelas tengah pinggir kali dendam gaya hidup norak
Purbaya Yudhi Sadewa,Keren pak Purbaya 😘😘😘👍🥰🎉,keren pak purbaya 😘😘😘👍🥰🎉,keren bapak purbaya 😘😘😘👍🥰🎉,"['keren', 'bapak', 'purbaya', '😘😘😘👍🥰🎉']","['keren', 'purbaya', '😘😘😘👍🥰🎉']","['keren', 'purbaya', '']",keren purbaya 
Purbaya Yudhi Sadewa,yg pnting fungsinya.,yg pnting fungsinya,yang pnting fungsinya,"['yang', 'pnting', 'fungsinya']","['pnting', 'fungsinya']","['pnting', 'fungsi']",pnting fungsi
Purbaya Yudhi Sadewa,"Aksesories itu tergantung siapa yang pakai. Jika itu pejabat atau orang kaya, walaupun harganya tak seberapa, pasti akan naik kelas. Sedangkan bagi pejabat yang justru memakai jam tangan mahal, itu tidak akan ada gunanya dan justru akan mengurangi nilai dari pemakainya.",aksesories itu tergantung siapa yang pakai jika itu pejabat atau orang kaya walaupun harganya tak seberapa pasti akan naik kelas sedangkan bagi pejabat yang justru memakai jam tangan mahal itu tidak akan ada gunanya dan justru akan mengurangi nilai dari pemakainya,aksesories itu tergantung siapa yang pakai jika itu pejabat atau orang kaya walaupun harganya tak seberapa pasti akan naik kelas sedangkan bagi pejabat yang justru memakai jam tangan mahal itu tidak akan ada gunanya dan justru akan mengurangi nilai dari pemakainya,"['aksesories', 'itu', 'tergantung', 'siapa', 'yang', 'pakai', 'jika', 'itu', 'pejabat', 'atau', 'orang', 'kaya', 'walaupun', 'harganya', 'tak', 'seberapa', 'pasti', 'akan', 'naik', 'kelas', 'sedangkan', 'bagi', 'pejabat', 'yang', 'justru', 'memakai', 'jam', 'tangan', 'mahal', 'itu', 'tidak', 'akan', 'ada', 'gunanya', 'dan', 'justru', 'akan', 'mengurangi', 'nilai', 'dari', 'pemakainya']","['aksesories', 'tergantung', 'pakai', 'pejabat', 'orang', 'kaya', 'harganya', 'kelas', 'pejabat', 'memakai', 'jam', 'tangan', 'mahal', 'gunanya', 'mengurangi', 'nilai', 'pemakainya']","['aksesories', 'gantung', 'pakai', 'jabat', 'orang', 'kaya', 'harga', 'kelas', 'jabat', 'pakai', 'jam', 'tangan', 'mahal', 'guna', 'kurang', 'nilai', 'maka']",aksesories gantung pakai jabat orang kaya harga kelas jabat pakai jam tangan mahal guna kurang nilai maka
Purbaya Yudhi Sadewa,menteri yang kereeen🙏,menteri yang kereeen🙏,menteri yang kereeen🙏,"['menteri', 'yang', 'kereeen🙏']","['menteri', 'kereeen🙏']","['menteri', 'kereeen']",menteri kereeen
Purbaya Yudhi Sadewa,"Yang sederhana terlihat elegan dan disayang, terlihat mewah keliatan creepy",yang sederhana terlihat elegan dan disayang terlihat mewah keliatan creepy,yang sederhana terlihat elegan dan disayang terlihat mewah keliatan creepy,"['yang', 'sederhana', 'terlihat', 'elegan', 'dan', 'disayang', 'terlihat', 'mewah', 'keliatan', 'creepy']","['sederhana', 'elegan', 'disayang', 'mewah', 'keliatan', 'creepy']","['sederhana', 'elegan', 'sayang', 'mewah', 'liat', 'creepy']",sederhana elegan sayang mewah liat creepy
Purbaya Yudhi Sadewa,KAK.. kancingnya kurang banyak.. 🤨🤨,kak kancingnya kurang banyak 🤨🤨,kak kancingnya kurang banyak 🤨🤨,"['kak', 'kancingnya', 'kurang', 'banyak', '🤨🤨']","['kak', 'kancingnya']","['kak', 'kancing']",kak kancing
Purbaya Yudhi Sadewa,"8 juta itu mahal, gaji 2 bulan😂",juta itu mahal gaji bulan😂,juta itu mahal gaji bulan😂,"['juta', 'itu', 'mahal', 'gaji', 'bulan😂']","['juta', 'mahal', 'gaji', 'bulan😂']","['juta', 'mahal', 'gaji', 'bulan']",juta mahal gaji bulan
Purbaya Yudhi Sadewa,jam tangan 8 jt ya mahal. sy beli jam tangan sophie martin 150 rb bayar 3x,jam tangan jt ya mahal sy beli jam tangan sophie martin rb bayar x,jam tangan jt ya mahal sy beli jam tangan sophie martin rb bayar x,"['jam', 'tangan', 'jt', 'ya', 'mahal', 'sy', 'beli', 'jam', 'tangan', 'sophie', 'martin', 'rb', 'bayar', 'x']","['jam', 'tangan', 'mahal', 'beli', 'jam', 'tangan', 'sophie', 'martin', 'bayar']","['jam', 'tangan', 'mahal', 'beli', 'jam', 'tangan', 'sophie', 'martin', 'bayar']",jam tangan mahal beli jam tangan sophie martin bayar
Purbaya Yudhi Sadewa,"Meskipun ia pakai jam tangan mahal, ia bukan type tukang cari muka kpd atasannya
Ia punya uang dari hasil kerja yg halal....",meskipun ia pakai jam tangan mahal ia bukan type tukang cari muka kpd atasannya ia punya uang dari hasil kerja yg halal,meskipun ia pakai jam tangan mahal ia bukan type tukang cari muka kepada atasannya ia punya uang dari hasil kerja yang halal,"['meskipun', 'ia', 'pakai', 'jam', 'tangan', 'mahal', 'ia', 'bukan', 'type', 'tukang', 'cari', 'muka', 'kepada', 'atasannya', 'ia', 'punya', 'uang', 'dari', 'hasil', 'kerja', 'yang', 'halal']","['pakai', 'jam', 'tangan', 'mahal', 'type', 'tukang', 'cari', 'muka', 'atasannya', 'uang', 'hasil', 'kerja', 'halal']","['pakai', 'jam', 'tangan', 'mahal', 'type', 'tukang', 'cari', 'muka', 'atas', 'uang', 'hasil', 'kerja', 'halal']",pakai jam tangan mahal type tukang cari muka atas uang hasil kerja halal
Purbaya Yudhi Sadewa,"SDH TEPAT JADI PEJABAT!!
YG DIKEDEPANKAN ISI OTAK & TINDAKAN REVOLUSIONER!!
TANCAP GAS PAK PURBAYA!!!",sdh tepat jadi pejabat yg dikedepankan isi otak tindakan revolusioner tancap gas pak purbaya,sudah tepat jadi pejabat yang dikedepankan isi otak tindakan revolusioner tancap gas bapak purbaya,"['sudah', 'tepat', 'jadi', 'pejabat', 'yang', 'dikedepankan', 'isi', 'otak', 'tindakan', 'revolusioner', 'tancap', 'gas', 'bapak', 'purbaya']","['pejabat', 'dikedepankan', 'isi', 'otak', 'tindakan', 'revolusioner', 'tancap', 'gas', 'purbaya']","['jabat', 'depan', 'isi', 'otak', 'tindak', 'revolusioner', 'tancap', 'gas', 'purbaya']",jabat depan isi otak tindak revolusioner tancap gas purbaya
Purbaya Yudhi Sadewa,"YANG PENTING JARUM JAM , MENIT DAN DETIKNYA TEPAT WAKTU GAK DIKURANGI GAK DITAMBAH",yang penting jarum jam menit dan detiknya tepat waktu gak dikurangi gak ditambah,yang penting jarum jam menit dan detiknya tepat waktu tidak dikurangi tidak ditambah,"['yang', 'penting', 'jarum', 'jam', 'menit', 'dan', 'detiknya', 'tepat', 'waktu', 'tidak', 'dikurangi', 'tidak', 'ditambah']","['jarum', 'jam', 'menit', 'detiknya', 'dikurangi', 'ditambah']","['jarum', 'jam', 'menit', 'detik', 'rang', 'tambah']",jarum jam menit detik rang tambah
Purbaya Yudhi Sadewa,"jangan kaget pak jd pejabat pasti smua dikulik,kalau bs sampai merk sempak jg dikulik😂",jangan kaget pak jd pejabat pasti smua dikulikkalau bs sampai merk sempak jg dikulik😂,jangan kaget bapak jd pejabat pasti smua dikulikkalau bs sampai merk sempak jg dikulik😂,"['jangan', 'kaget', 'bapak', 'jd', 'pejabat', 'pasti', 'smua', 'dikulikkalau', 'bs', 'sampai', 'merk', 'sempak', 'jg', 'dikulik😂']","['kaget', 'pejabat', 'smua', 'dikulikkalau', 'merk', 'sempak', 'dikulik😂']","['kaget', 'jabat', 'smua', 'dikulikkalau', 'merk', 'sempak', 'lik']",kaget jabat smua dikulikkalau merk sempak lik
Purbaya Yudhi Sadewa,TOPPPP,topppp,topppp,['topppp'],['topppp'],['topppp'],topppp
Purbaya Yudhi Sadewa,"Baju batik beliau juga gak banyak, dipakai berulang ulang...😅. Kebanyakan pejabat  baju nya sekali pakai, gak pernah dipakai berulang...",baju batik beliau juga gak banyak dipakai berulang ulang😅 kebanyakan pejabat baju nya sekali pakai gak pernah dipakai berulang,baju batik beliau juga tidak banyak dipakai berulang ulang😅 kebanyakan pejabat baju nya sekali pakai tidak pernah dipakai berulang,"['baju', 'batik', 'beliau', 'juga', 'tidak', 'banyak', 'dipakai', 'berulang', 'ulang😅', 'kebanyakan', 'pejabat', 'baju', 'nya', 'sekali', 'pakai', 'tidak', 'pernah', 'dipakai', 'berulang']","['baju', 'batik', 'beliau', 'dipakai', 'berulang', 'ulang😅', 'kebanyakan', 'pejabat', 'baju', 'pakai', 'dipakai', 'berulang']","['baju', 'batik', 'beliau', 'pakai', 'ulang', 'ulang', 'banyak', 'jabat', 'baju', 'pakai', 'pakai', 'ulang']",baju batik beliau pakai ulang ulang banyak jabat baju pakai pakai ulang
Purbaya Yudhi Sadewa,"Iya p purbaya ini sederhana, batiknya juga itu² saja",iya p purbaya ini sederhana batiknya juga itu² saja,iya p purbaya ini sederhana batiknya juga itu² saja,"['iya', 'p', 'purbaya', 'ini', 'sederhana', 'batiknya', 'juga', 'itu²', 'saja']","['iya', 'purbaya', 'sederhana', 'batiknya', 'itu²']","['iya', 'purbaya', 'sederhana', 'batik', 'itu']",iya purbaya sederhana batik itu
Purbaya Yudhi Sadewa,🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻,🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻,🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻,['🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻'],['🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🇮🇩👍🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻'],[''],
