text,tokoh,date
"Selain Menteri Keuangan Pak Purbaya, Jarang2 Menteri mengucapkan Salam dan Puji syukur Atas Khendak Allah SWT, Yg ada pikiranya Politik dan Duit Pdhal stelah Lengser jabatanmu Hanya Satu Yg tersisa dlam hidupmu Yaitu Tuamu, Sakitmu, Dan Matimu dan saat  sudah di posisi itu kamu mulai berfikir Bahwa Allah Yang menentukan Nasib Kematianmu, Jika Matimu Berat yaitu di sebabkan prilakumu sendiri. 
Semoga Pak Purbaya Sehat selalu dan Semoga  Allah menjagamu merawatmu sebagaimana engkau merawat dan memperjuangkan ekonomi Masyarakat agar Rakyat kedepanNya Hidup Makmur.",Purbaya Yudhi Sadewa,2025-12-05T01:59:07Z
Pdhal era sby dsr cuma 20% tp ekonomi bsa tumbuh 6% sdg era jokowi dsr capai 40% tp ekonomi tumbuh cuma 5% bsa jd krna kkn+mafia  marak/mwrajalela.....,Purbaya Yudhi Sadewa,2025-12-05T01:47:18Z
Tau kan kenapa waktu rusuh rumah Sri Mul di jarah itu karena ulah dia sendiri kejam nya luar biasa otak nya cuma pajak pajak pajak rakyat sekarat di peras sampai mampus,Purbaya Yudhi Sadewa,2025-12-05T01:22:00Z
Fans Bu Sri Mulyani sejak kuliah sampe jurusan kuliah kek beliau 😂 makin ke sini kurang greget. Tapi aku harap Pak Purbaya juga buktikan dgn pencapaian. Semoga ya,Purbaya Yudhi Sadewa,2025-12-05T01:17:53Z
"apa kabar sri, pertanggung jawabannya mana ni?",Purbaya Yudhi Sadewa,2025-12-05T00:38:24Z
Ternyata banyak orang pintar seperti pak purbaya.yg belum dapat kesempatan eksis.y.,Purbaya Yudhi Sadewa,2025-12-05T00:31:20Z
Kebijakan kebijakan yg berpihak pada rakyat dan Statement statement yg positif adalah kunci pertumbuhan ekonomi,Purbaya Yudhi Sadewa,2025-12-05T00:10:13Z
Guyaguyu ente sehat 🤔,Purbaya Yudhi Sadewa,2025-12-04T23:57:28Z
Semoga Allah senantiasa melindungi panjenengan sekeluarga.... panjenengan... pelindung hak rakyat....pagi ini kt dapet pengembalian pajak.... rasanya seneng banget....bisa buat tambal tambal belanja....,Purbaya Yudhi Sadewa,2025-12-04T23:32:52Z
Assalamualaikum... bapak....,Purbaya Yudhi Sadewa,2025-12-04T23:30:52Z
